,Unnamed: 0,prompt,answer,ada-response,babbage-response,curie-response,davinci-response,ada-classification,babbage-classification,curie-classification,davinci-classification
10,10,"Q: How many times does the letter 'a' occur in the word 'france' ? 
 A: ","1,one","_____

Q: How many times does the letter 'a' occur in the word 'france' ?  A: _____

Q: How many times does the letter 'a' occur in the word 'france' ?","

Q: What is the longest word in the word 'france' ? A: 

Q: What is the shortest word in the word 'france' ? A: 

Q: What is the first letter of"," 3 times.
Q: How many times does the letter 'e' occur in the word 'france' ?  A:  2 times.
Q: How many times does the letter 'i' occur in the word","

Q: How many times does the letter 'a' occur in the word 'france' ? 
 A: 

Q: How many times does the letter 'a' occur in the word 'france' ? ",False,False,False,False
11,11,"Q: How many times does the letter 'n' occur in the word 'france' ? 
 A: ","1,one","_____________

Q: How many times does the letter 'n' occur in the word 'france' ?  A: _____________

Q: How many times does the letter 'n' occur in the word 'france","

Q: What is the longest word in the word 'france' ?

A: 

Q: What is the shortest word in the word 'france' ?

A: 

Q: What is"," 3 times.
Q: How many times does the letter 'r' occur in the word 'france' ?  A:  2 times.
Q: How many times does the letter 's' occur in the word",ன்ன்ன்ன்ன்ன்ன்ன்,False,False,False,False
12,12,"Q: How many times does the letter 'r' occur in the word 'france' ? 
 A: ","1,one","_____________

Q: How many times does the letter 'r' occur in the word 'france' ?  A: _____________

Q: How many times does the letter 'r' occur in the word 'france","

Q: What is the longest word in the word 'france' ?

A: 

Q: What is the shortest word in the word 'france' ?

A: 

Q: What is"," 3 times.
Q: How many times does the letter 's' occur in the word 'france' ?  A:  2 times.
Q: How many times does the letter 't' occur in the word","

Q: How many times does the letter 'r' occur in the word 'france' ? 
 A: 

Q: How many times does the letter 'r' occur in the word 'france' ? ",False,False,False,False
13,13,"Q: How many times does the letter 'c' occur in the word 'france' ? 
 A: ","1,one","_______________

Q: How many times does the letter 'c' occur in the word 'france' ?  A: _______________

Q: How many times does the letter 'c' occur in the word 'france","

Q: What is the longest word in the word 'france' ?

A: 

Q: What is the shortest word in the word 'france' ?

A: 

Q: What is"," 3 times.
Q: How many times does the letter 'e' occur in the word 'france' ?  A:  2 times.
Q: How many times does the letter 'g' occur in the word","

Q: How many times does the letter 'c' occur in the word 'france' ? 
 A: 

Q: How many times does the letter 'c' occur in the word 'france' ? ",False,False,False,False
14,14,"Q: Count the number of letters in the word 'germany' ? 
 A: ","7,seven","_____

Q: What is the name of the country in the word 'germany'? _____

A: Germany

Q: What is the name of the country in the word 'germany'? _____

A:","

Q: What is the first letter of the word 'germany' ?

A: 

Q: What is the first letter of the word 'germany' ?

A: 

Q: What is"," 8
Q: How many letters are in the word 'germany' ?  A:  8
Q: How many letters are in the word 'germany' ?  A:  8
Q: How","

Q: What is the full form of G.R.A.D.U.A.T.E. ? 
 A: 

Q: What is the full form of G.R.A.D.",False,False,False,False
15,15,"Q: How many times does the letter 'e' occur in the word 'germany' ? 
 A: ","1,one","_____

Q: How many times does the letter 'e' occur in the word 'germany' ?  A: _____

Q: How many times does the letter 'e' occur in the word 'germany' ?","

Q: What is the longest word in the English language that ends in 'e'?

A: 

Q: What is the longest word in the English language that ends in 'e'?

A: 

"," 3 times.
Q: How many times does the letter 'e' occur in the word 'german' ?  A:  3 times.
Q: How many times does the letter 'e' occur in the word","

Q: How many times does the letter 'e' occur in the word 'germany' ? 
 A: 

Q: How many times does the letter 'e' occur in the word 'germany' ? ",False,False,False,False
16,16,"Q: How many times does the letter 'a' occur in the word 'germany' ? 
 A: ","1,one","_____

Q: How many times does the letter 'a' occur in the word 'germany' ?  A: _____

Q: How many times does the letter 'a' occur in the word 'germany' ?","

Q: What is the longest word in the word 'germany' ?

A: 

Q: What is the shortest word in the word 'germany' ?

A: 

Q: What is"," 3 times.
Q: How many times does the letter 'e' occur in the word 'germany' ?  A:  2 times.
Q: How many times does the letter 'g' occur in the word","

Q: How many times does the letter 'a' occur in the word 'germany' ? 
 A: 

Q: How many times does the letter 'a' occur in the word 'germany' ? ",False,False,False,False
17,17,"Q: How many times does the letter 'g' occur in the word 'germany' ? 
 A: ","1,one","_____

Q: How many times does the letter 'h' occur in the word 'he' ?  A: _____

Q: How many times does the letter 'i' occur in the word 'ihate' ? ","

Q: What is the longest word in the English language that ends in 'y'?

A: 

Q: What is the longest word in the English language that ends in 'y'?

A: 

"," 3 times.
Q: How many times does the letter 'h' occur in the word 'holland' ?  A:  2 times.
Q: How many times does the letter 'i' occur in the","

Q: How many times does the letter 'g' occur in the word 'germany' ? 
 A: 

Q: How many times does the letter 'g' occur in the word 'germany' ? ",False,False,False,False
18,18,"Q: How many times does the letter 'n' occur in the word 'germany' ? 
 A: ","1,one","_____________

Q: How many times does the letter 'n' occur in the word 'germany' ?  A: _____________

Q: How many times does the letter 'n' occur in the word 'germany","

Q: What is the longest word in the English language that ends in 'n'?

A: 

Q: What is the longest word in the English language that ends in 'n'?

A: 

"," 3 times.
Q: How many times does the letter 'r' occur in the word 'germany' ?  A:  2 times.
Q: How many times does the letter 'y' occur in the word",ன்ன்ன்ன்ன்ன்ன்ன்,False,False,False,False
19,19,"Q: How many times does the letter 'y' occur in the word 'germany' ? 
 A: ","1,one","_____

Q: How many times does the letter 'y' occur in the word 'germany' ?  A: _____

Q: How many times does the letter 'y' occur in the word 'germany' ?","

Q: What is the longest word in the English language? A: 

Q: What is the shortest word in the English language? A: 

Q: What is the longest word in the German language? A:"," 3 times.
Q: How many times does the letter 'y' occur in the word 'yacht' ?  A:  2 times.
Q: How many times does the letter 'y' occur in the word",,False,False,False,False
20,20,"Q: How many times does the letter 'r' occur in the word 'germany' ? 
 A: ","1,one","_____________

Q: How many times does the letter 'r' occur in the word 'germany' ?  A: _____________

Q: How many times does the letter 'r' occur in the word 'germany","

Q: What is the longest word in the English language that ends in 'r' ? A: 

Q: What is the shortest word in the English language that ends in 'r' ? A: 

Q:"," 3 times.
Q: How many times does the letter 's' occur in the word 'germany' ?  A:  2 times.
Q: How many times does the letter 't' occur in the word",கொடுக்கப்பட்டது ப,False,False,False,False
21,21,"Q: How many times does the letter 'm' occur in the word 'germany' ? 
 A: ","1,one","_____________

Q: How many times does the letter 'm' occur in the word 'germany' ?  A: _____________

Q: How many times does the letter 'm' occur in the word 'germany","

Q: What is the longest word in the word 'germany' ? A: 

Q: What is the shortest word in the word 'germany' ? A: 

Q: What is the first letter of"," 3 times.
Q: How many times does the letter 'n' occur in the word 'germany' ?  A:  2 times.
Q: How many times does the letter 'o' occur in the word","

Q: How many times does the letter 'm' occur in the word 'germany' ? 
 A: 

Q: How many times does the letter 'm' occur in the word 'germany' ? ",False,False,False,False
22,22,"Q: Count the number of letters in the word 'russia' ? 
 A: ","6,six","_____

Q: What is the name of the country in the word 'russia'?  _____

A: _____

Q: What is the name of the country in the word 'russia'?  _____
","

Q: What is the capital of Russia ? 
 A: Moscow

Q: What is the name of the country that Russia is in ? 
 A: Russia

Q: What is the name of the country that Russia","__________

Q: How many letters are there in the word 'russia' ? 
 A: __________

Q: How many letters are there in the word 'russia' ? 
 A: __________","

Q: What is the sum of the digits of the number '9' ? 
 A: 

Q: What is the sum of the digits of the number '10' ? 
 A: 

Q:",False,False,False,False
23,23,"Q: How many times does the letter 'i' occur in the word 'russia' ? 
 A: ","1,one","_____

Q: How many times does the letter 'i' occur in the word 'russia' ?  A: _____

Q: How many times does the letter 'i' occur in the word 'russia' ?","

Q: What is the first letter of the word 'russia' ?

A: 

Q: What is the first letter of the word 'russia' ?

A: 

Q: What is"," 3 times.
Q: How many times does the letter 'o' occur in the word 'russia' ?  A:  2 times.
Q: How many times does the letter 'e' occur in the word",ஐஐஐஐஐஐஐஐஐஐஐஐஐஐஐஐ,False,False,False,False
24,24,"Q: How many times does the letter 'a' occur in the word 'russia' ? 
 A: ","1,one","_____

Q: How many times does the letter 'a' occur in the word 'russia' ?  A: _____

Q: How many times does the letter 'a' occur in the word 'russia' ?","

Q: What is the longest word in the word 'russia' ?

A: 

Q: What is the shortest word in the word 'russia' ?

A: 

Q: What is"," 3 times.
Q: How many times does the letter 'a' occur in the word 'russia' ?  A:  3 times.
Q: How many times does the letter 'a' occur in the word","

Q: How many times does the letter 'a' occur in the word 'russia' ? 
 A: 

Q: How many times does the letter 'a' occur in the word 'russia' ? ",False,False,False,False
25,25,"Q: How many times does the letter 's' occur in the word 'russia' ? 
 A: ","2,two","_____

Q: How many times does the letter 's' occur in the word 'russia' ?  A: _____

Q: How many times does the letter 's' occur in the word 'russia' ?","

Q: What is the longest word in the word 'russia' ? A: 

Q: What is the shortest word in the word 'russia' ? A: 

Q: What is the first letter of"," 3 times.
Q: How many times does the letter 's' occur in the word 'russians' ?  A:  3 times.
Q: How many times does the letter 's' occur in the","

Q: How many times does the letter 's' occur in the word 'russia' ? 
 A: 

Q: How many times does the letter 's' occur in the word 'russia' ? ",False,False,False,False
26,26,"Q: How many times does the letter 'u' occur in the word 'russia' ? 
 A: ","1,one"," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25","

Q: What is the first letter of the word 'russia' ? A: 

Q: What is the first letter of the word 'russia' ? A: 

Q: What is the first letter of"," 3 times.
Q: How many times does the letter 'u' occur in the word 'russia' ?  A:  3 times.
Q: How many times does the letter 'u' occur in the word",அரிசியானால் அரிசி,False,False,False,False
27,27,"Q: How many times does the letter 'r' occur in the word 'russia' ? 
 A: ","1,one","_______________

Q: How many times does the letter 'r' occur in the word 'russia' ?  A: _______________

Q: How many times does the letter 'r' occur in the word 'russia","

Q: What is the longest word in the word 'russia' ?

A: 

Q: What is the shortest word in the word 'russia' ?

A: 

Q: What is"," 3 times.
Q: How many times does the letter 's' occur in the word 'russia' ?  A:  3 times.
Q: How many times does the letter 't' occur in the word","৩৭ (three)

Q: What is the full form of 'russia' ?

A: ৩৭ (three)

Q: What is the full form of 'r",False,False,False,False
28,28,"Q: Count the number of letters in the word 'austria' ? 
 A: ","7,seven","_____

Q: What is the name of the country in the song 'Austerlitz'?  _____

A: Austria

Q: What is the name of the country in the song 'Austerlitz'? ","

Q: Count the number of letters in the word 'austria' ? 
 A: 

Q: Count the number of letters in the word 'austria' ? 
 A: 

Q:"," 8
Q: How many letters are there in the word 'austria' ?  A:  8
Q: How many letters are there in the word 'austria' ?  A:  8",,False,False,False,False
29,29,"Q: How many times does the letter 'i' occur in the word 'austria' ? 
 A: ","1,one"," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25","

Q: What is the longest word in the word 'austria'? A: 

Q: What is the shortest word in the word 'austria'? A: 

Q: What is the first letter of"," 3 times.
Q: How many times does the letter 'o' occur in the word 'austria' ?  A:  2 times.
Q: How many times does the letter 'u' occur in the",৩০০০০০০০০০০০০০০০,False,False,False,False
30,30,"Q: How many times does the letter 'a' occur in the word 'austria' ? 
 A: ","2,two"," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25","

Q: What is the longest word in the word 'austria'? A: 

Q: What is the shortest word in the word 'austria'? A: 

Q: What is the first letter of"," 3 times.
Q: How many times does the letter 'e' occur in the word 'austria' ?  A:  2 times.
Q: How many times does the letter 'i' occur in the",৩০০০০০০০০০০০০০০০,False,False,True,False
31,31,"Q: How many times does the letter 's' occur in the word 'austria' ? 
 A: ","1,one","_____

Q: How many times does the letter 's' occur in the word 'austria' ?  A: _____

Q: How many times does the letter 's' occur in the word 'austria","

Q: What is the longest word in the word 'austria'? A: 

Q: What is the shortest word in the word 'austria'? A: 

Q: What is the first letter of"," 3 times.
Q: How many times does the letter 't' occur in the word 'austria' ?  A:  2 times.
Q: How many times does the letter 'i' occur in the","৩৭ (thirty-seven)

Q: What is the sum of all the numbers on the clock ? 
 A: ১৮৭ (one thousand, one hundred and twenty",False,False,False,True
32,32,"Q: How many times does the letter 't' occur in the word 'austria' ? 
 A: ","1,one"," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25","

Q: What is the longest word in the word 'austria'? A: 

Q: What is the shortest word in the word 'austria'? A: 

Q: What is the first letter of"," 3 times.
Q: How many times does the letter 'e' occur in the word 'austria' ?  A:  2 times.
Q: How many times does the letter 'a' occur in the","৩৭ (thirty-seven)

Q: What is the sum of all the numbers on the top row of the table ? 
 A: ১৮৭ (one thousand nine",False,False,False,False
33,33,"Q: How many times does the letter 'u' occur in the word 'austria' ? 
 A: ","1,one"," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25","

Q: What is the longest word in the word 'austria'? A: 

Q: What is the shortest word in the word 'austria'? A: 

Q: What is the first letter of"," 3 times.
Q: How many times does the letter 'u' occur in the word 'australia' ?  A:  3 times.
Q: How many times does the letter 'u' occur in","৩৭ (three)

Q: What is the sum of all the numbers on the top row ? 
 A: ১০০ (one thousand)

Q: What is",False,False,False,False
34,34,"Q: How many times does the letter 'r' occur in the word 'austria' ? 
 A: ","1,one"," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25","

Q: What is the longest word in the word 'austria' ?

A: 

Q: What is the shortest word in the word 'austria' ?

A: 

Q:","

Q: How many times does the letter 's' occur in the word 'austria' ? 
 A: 

Q: How many times does the letter 't' occur in the word 'austria'","৩৭ (three)

Q: What is the sum of all the numbers on the top row of the table ? 
 A: ১৮০ (one thousand eight hundred)
",False,False,False,False
35,35,"Q: Count the number of letters in the word 'america' ? 
 A: ","7,seven","_____

Q: What is the first letter of the word 'america' ?  _____

A: _____

Q: What is the first letter of the word 'america' ?  _____

A","

Q: What is the first letter of the word 'america'?

A: A

Q: What is the first letter of the word 'america'?

A: A

Q: What is the first"," 8
Q: How many letters are in the word 'america' ?  A:  8
Q: How many letters are in the word 'america' ?  A:  8
Q: How",,False,False,False,False
36,36,"Q: How many times does the letter 'c' occur in the word 'america' ? 
 A: ","1,one","_____________

Q: How many times does the letter 'c' occur in the word 'america' ?  A: _____________

Q: How many times does the letter 'c' occur in the word 'america","

Q: What is the longest word in the world?
 A: 

Q: What is the shortest word in the world?
 A: 

Q: What is the longest word in the world?
 A:"," 3 times.
Q: How many times does the letter 'a' occur in the word 'america' ?  A:  1 time.
Q: How many times does the letter 'e' occur in the word","

Q: How many times does the letter 'c' occur in the word 'america' ? 
 A: 

Q: How many times does the letter 'c' occur in the word 'america' ? ",False,False,True,False
37,37,"Q: How many times does the letter 'e' occur in the word 'america' ? 
 A: ","1,one","_____

Q: How many times does the letter 'e' occur in the word 'america' ?  A: _____

Q: How many times does the letter 'e' occur in the word 'america' ?","

Q: What is the longest word in the world?
 A: 

Q: What is the shortest word in the world?
 A: 

Q: What is the longest word in the world?
 A:"," 3 times.
Q: How many times does the letter 'e' occur in the word 'american' ?  A:  3 times.
Q: How many times does the letter 'e' occur in the word","

Q: How many times does the letter 'e' occur in the word 'america' ? 
 A: 

Q: How many times does the letter 'e' occur in the word 'america' ? ",False,False,False,False
38,38,"Q: How many times does the letter 'i' occur in the word 'america' ? 
 A: ","1,one","_____

Q: How many times does the letter 'i' occur in the word 'america' ?  A: _____

Q: How many times does the letter 'i' occur in the word 'america' ?","

Q: What is the longest word in the word 'america'?

A: 

Q: What is the shortest word in the word 'america'?

A: 

Q: What is the first"," 3 times.
Q: How many times does the letter 'e' occur in the word 'america' ?  A:  2 times.
Q: How many times does the letter 'o' occur in the word","

Q: How many times does the letter 'i' occur in the word 'america' ? 
 A: 

Q: How many times does the letter 'i' occur in the word 'america' ? ",False,False,False,False
39,39,"Q: How many times does the letter 'a' occur in the word 'america' ? 
 A: ","2,two","_____

Q: How many times does the letter 'a' occur in the word 'america' ?  A: _____

Q: How many times does the letter 'a' occur in the word 'america' ?","

Q: What is the longest word in the world?
 A: 

Q: What is the shortest word in the world?
 A: 

Q: What is the longest word in the world?
 A:"," 3 times.
Q: How many times does the letter 'e' occur in the word 'america' ?  A:  2 times.
Q: How many times does the letter 'r' occur in the word","

Q: How many times does the letter 'a' occur in the word 'america' ? 
 A: 

Q: How many times does the letter 'a' occur in the word 'america' ? ",False,False,True,False
40,40,"Q: How many times does the letter 'r' occur in the word 'america' ? 
 A: ","1,one","_____________

Q: How many times does the letter 'r' occur in the word 'america' ?  A: _____________

Q: How many times does the letter 'r' occur in the word 'america","

Q: What is the longest word in the world?
 A: 

Q: What is the shortest word in the world?
 A: 

Q: What is the longest word in the world?
 A:"," 3 times.
Q: How many times does the letter 'r' occur in the word 'american' ?  A:  3 times.
Q: How many times does the letter 'r' occur in the word","

Q: How many times does the letter 'r' occur in the word 'america' ? 
 A: 

Q: How many times does the letter 'r' occur in the word 'america' ? ",False,False,False,False
41,41,"Q: How many times does the letter 'm' occur in the word 'america' ? 
 A: ","1,one"," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25","

Q: What is the longest word in the world?
 A: 

Q: What is the shortest word in the world?
 A: 

Q: What is the longest word in the world?
 A:"," 3 times.
Q: How many times does the letter 'n' occur in the word 'america' ?  A:  2 times.
Q: How many times does the letter 'o' occur in the word","

Q: How many times does the letter 'm' occur in the word 'america' ? 
 A: 

Q: How many times does the letter 'm' occur in the word 'america' ? ",False,False,False,False
42,42,"Q: Count the number of letters in the word 'canada' ? 
 A: ","6,six","______________

B: ______________

C: ______________

D: ______________

E: ______________

F: ______________

G: ______________

H: ________","

Q: Count the number of letters in the word 'canada' ? 
 A: 

Q: Count the number of letters in the word 'canada' ? 
 A: 

Q: Count the","

Q: How many letters are in the word 'canada' ? 
 A: 

Q: How many letters are in the word 'canada' ? 
 A: 

Q: How many letters are","

Q: What is the sum of the digits of the number '9' ? 
 A: 

Q: What is the sum of the digits of the number '10' ? 
 A: 

Q:",False,False,False,False
43,43,"Q: How many times does the letter 'n' occur in the word 'canada' ? 
 A: ","1,one"," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25","

Q: What is the longest word in the word 'canada'? A: 

Q: What is the shortest word in the word 'canada'? A: 

Q: What is the first letter of the word","

Q: How many times does the letter 'n' occur in the word 'canada' ? 
 A: 

Q: How many times does the letter 'n' occur in the word 'canada' ? ","

Q: What is the sum of all the numbers on the back of a standard deck of playing cards ? 
 A: 

Q: What is the sum of all the numbers on the back of a standard deck of playing cards",False,False,False,False
44,44,"Q: How many times does the letter 'a' occur in the word 'canada' ? 
 A: ","3,three","_______________

Q: How many times does the letter 'a' occur in the word 'canada' ?  A: _______________

Q: How many times does the letter 'a' occur in the word 'canada","

Q: What is the longest word in the word 'canada'? A: 

Q: What is the shortest word in the word 'canada'? A: 

Q: What is the first letter of the word","

Q: How many times does the letter 'a' occur in the word 'canada' ? 
 A: 

Q: How many times does the letter 'a' occur in the word 'canada' ? ","

Q: How many times does the letter 'a' occur in the word 'canada' ? 
 A: 

Q: How many times does the letter 'a' occur in the word 'canada' ? ",False,False,False,False
45,45,"Q: How many times does the letter 'c' occur in the word 'canada' ? 
 A: ","1,one","_______________

Q: How many times does the letter 'c' occur in the word 'canada' ?  A: _______________

Q: How many times does the letter 'c' occur in the word 'canada","

Q: What is the longest word in the word 'canada'? A: 

Q: What is the shortest word in the word 'canada'? A: 

Q: What is the first letter of the word","

Q: How many times does the letter 'e' occur in the word 'canada' ? 
 A: 

Q: How many times does the letter 'g' occur in the word 'canada' ? ","

Q: How many times does the letter 'c' occur in the word 'canada' ? 
 A: 

Q: How many times does the letter 'c' occur in the word 'canada' ? ",False,False,False,False
46,46,"Q: How many times does the letter 'd' occur in the word 'canada' ? 
 A: ","1,one"," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25","

Q: What is the longest word in the word 'canada'? A: 

Q: What is the shortest word in the word 'canada'? A: 

Q: What is the first letter of the word","

Q: How many times does the letter 'e' occur in the word 'canada' ? 
 A: 

Q: How many times does the letter 'f' occur in the word 'canada' ? ","

Q: How many times does the letter 'e' occur in the word 'canada' ? 
 A: 

Q: How many times does the letter 'f' occur in the word 'canada' ? ",False,False,False,False
47,47,"Q: Count the number of letters in the word 'china' ? 
 A: ","5,five","_____

Q: What is the name of the country in the word 'china'?  _____

A: _____

Q: What is the name of the country in the word 'china'?  _____
","

Q: Count the number of letters in the word 'china' ? 
 A: 

Q: Count the number of letters in the word 'china' ? 
 A: 

Q: Count the"," 8
Q: How many letters are there in the word 'china' ?  A:  8
Q: How many letters are there in the word 'china' ?  A:  8
Q","

Q: What is the difference between a duck? 
 A: 

Q: What is the difference between a cat and a comma? 
 A: 

Q: What is the difference between a cat and a",False,False,False,False
48,48,"Q: How many times does the letter 'i' occur in the word 'china' ? 
 A: ","1,one","_____

Q: How many times does the letter 'i' occur in the word 'china' ?  A: _____

Q: How many times does the letter 'i' occur in the word 'china' ?","

Q: What is the longest word in the word 'china' ?

A: 

Q: What is the shortest word in the word 'china' ?

A: 

Q: What is"," 3 times.
Q: How many times does the letter 'i' occur in the word 'china' ?  A:  3 times.
Q: How many times does the letter 'i' occur in the word","

Q: How many times does the letter 'i' occur in the word 'china' ? 
 A: 

Q: How many times does the letter 'i' occur in the word 'china' ? ",False,False,False,False
