,Unnamed: 0,prompt,answer,text-ada-001-response,text-babbage-001-response,text-curie-001-response,text-davinci-001-response,text-ada-001-classification,text-babbage-001-classification,text-curie-001-classification,text-davinci-001-classification
10,10,"Q: How many times does the letter 'a' occur in the word 'france' ? 
 A: ","1,one","

There are three times the word ""France"" occurs than any other letter in the word.","

There are six letters in the word 'france': a, e, i, o, u, and y.","

There are six occurrences of the letter 'a' in the word 'france'.","

There are six occurrences of the letter 'a' in the word 'france'.",False,False,False,False
11,11,"Q: How many times does the letter 'n' occur in the word 'france' ? 
 A: ","1,one","

N/A","

There are six occurrences of the letter 'n' in the word 'france'.","

There are six occurrences of the letter 'n' in the word 'france'.","

There are six occurrences of the letter 'n' in the word 'france'.",False,False,False,False
12,12,"Q: How many times does the letter 'r' occur in the word 'france' ? 
 A: ","1,one","

There are three times the letter ""r"" occurs in ""France"" than ""grec"" or ""eut"" does.","

There are six occurrences of the letter 'r' in the word 'france'.","

There are six occurrences of the letter 'r' in the word 'france'.","

There are three occurrences of the letter 'r' in the word 'france'.",False,False,False,False
13,13,"Q: How many times does the letter 'c' occur in the word 'france' ? 
 A: ","1,one","

C: 
F: 

R: 

H:

E: 

L:

A:","

There are six occurrences of the letter 'c' in the word 'france'.","

There are six occurrences of the letter 'c' in the word 'france'.","

The letter 'c' occurs twice in the word 'france'.",False,False,False,False
14,14,"Q: Count the number of letters in the word 'germany' ? 
 A: ","7,seven","

There are nine letters in the word ""german.""","

There are nine letters in the word ""germany.""","

There are 16 letters in the word 'Germany'.","

There are six letters in the word 'germany'.",False,False,False,False
15,15,"Q: How many times does the letter 'e' occur in the word 'germany' ? 
 A: ","1,one","

There are three times the letter 'e' occurs in the word ""german""

There are six times the letter 'e' occurs in the word ""german""","

There are six occurrences of the letter 'e' in Germany.","

There are six occurrences of the letter 'e' in the word 'germany'.","

The letter 'e' occurs twice in the word 'germany'.",False,False,False,False
16,16,"Q: How many times does the letter 'a' occur in the word 'germany' ? 
 A: ","1,one","

There are three times the word ""german"" occurs than the word ""a"" does in the word ""germany.""","

There are six letters in the word 'germany': a, e, i, o, u, and y.","

There are six occurrences of the letter 'a' in the word 'germany'.","

There are three 'a's in the word 'germany'.",False,False,False,False
17,17,"Q: How many times does the letter 'g' occur in the word 'germany' ? 
 A: ","1,one","

There are three times the word ""german"" occurs.","

There are six occurrences of the letter 'g' in the word 'germany'.","

There are six occurrences of the letter 'g' in the word 'germany'.","

There are three occurrences of the letter 'g' in the word 'germany'.",False,False,False,False
18,18,"Q: How many times does the letter 'n' occur in the word 'germany' ? 
 A: ","1,one","

There are three times the word ""german"" occurs than the word ""Norwegian"" does.","

There are six occurrences of the letter 'n' in the word 'germany'.","

There are six occurrences of the letter 'n' in the word 'germany'.","

There are three occurrences of the letter 'n' in the word 'germany'.",False,False,False,False
19,19,"Q: How many times does the letter 'y' occur in the word 'germany' ? 
 A: ","1,one","

There are three times the word ""y"" occurs in the word ""german.""","

There are six occurrences of the letter 'y' in Germany.","

There are six occurrences of the letter 'y' in the word 'germany'.","

There are three y's in the word ""Germany.""",False,False,False,False
20,20,"Q: How many times does the letter 'r' occur in the word 'germany' ? 
 A: ","1,one","

There are three times the letter ""r"" occurs in the word ""german"" than in other countries.","

There are six occurrences of the letter 'r' in the word 'germany'.","

There are six occurrences of the letter 'r' in the word 'germany'.","

There are three 'r's in the word 'germany'.",False,False,False,False
21,21,"Q: How many times does the letter 'm' occur in the word 'germany' ? 
 A: ","1,one","

There are three times the word ""german"" occurs than the word ""English.""","

There are six occurrences of the letter 'm' in the word 'germany'.","

There are six occurrences of the letter 'm' in the word 'germany'.","

There are three 'm's in the word 'germany'.",False,False,False,False
22,22,"Q: Count the number of letters in the word 'russia' ? 
 A: ","6,six","

There are nine letters in Russia.","

There are nine letters in the word ""russia.""","

There are 31 letters in the word 'russia'.","

There are six letters in the word 'russia'.",False,False,False,True
23,23,"Q: How many times does the letter 'i' occur in the word 'russia' ? 
 A: ","1,one","

There are three times the word ""russia"" occurs in the letter ""i.""","

There are six letters in the word 'russia': 

i, e, n, o, u, t.","

There are six occurrences of the letter 'i' in the word 'russia'.","

There are three 'i's in the word 'russia'.",False,False,False,False
24,24,"Q: How many times does the letter 'a' occur in the word 'russia' ? 
 A: ","1,one","

There are three times the word 'a' occurs in the letter 'a'.","

There are six occurrences of the letter 'a' in Russia.","

There are six occurrences of the letter 'a' in the word 'russia'.","

There are three 'a's in the word 'russia'.",False,False,False,False
25,25,"Q: How many times does the letter 's' occur in the word 'russia' ? 
 A: ","2,two","

s-i-t-h-r-i-t","

There are six times the letter 's' occurs in the word 'russia'.","

There are six occurrences of the letter 's' in the word 'russia'.","

There are three 's' letters in the word 'russia'.",False,False,False,False
26,26,"Q: How many times does the letter 'u' occur in the word 'russia' ? 
 A: ","1,one","

There are three times the word ""russia"" occurs than the word ""u"" does.","

There are nine occurrences of the letter 'u' in Russia.","

There are six occurrences of the letter 'u' in the word 'russia'.","

There are three occurrences of the letter 'u' in the word 'russia'.",False,False,False,False
27,27,"Q: How many times does the letter 'r' occur in the word 'russia' ? 
 A: ","1,one","

There are three times the letter ""r"" occurs in the word ""russia.""","

There are three occurrences of the letter 'r' in Russia.","

There are six occurrences of the letter 'r' in the word 'russia'.","

The letter 'r' occurs twice in the word 'russia'.",False,False,False,False
28,28,"Q: Count the number of letters in the word 'austria' ? 
 A: ","7,seven","

There are nine letters in ""austria"".","

There are nine letters in the word ""Austria.""","

There are 9 letters in the word 'austria'.","

There are six letters in the word 'austria'.",False,False,False,False
29,29,"Q: How many times does the letter 'i' occur in the word 'austria' ? 
 A: ","1,one","

There are three times the word ""austria"" occurs.","

There are six occurrences of the letter 'i' in the word 'austria'.","

There are six instances of the letter 'i' in the word 'austria'.","

There are three 'i's in the word 'austria'.",False,False,False,False
30,30,"Q: How many times does the letter 'a' occur in the word 'austria' ? 
 A: ","2,two","

There is not a letter of the word ""austria"" that does not have at least one letter from the letter ""a"".","

There are six occurrences of the letter 'a' in Austria.","

There are six occurrences of the letter 'a' in the word 'austria'.","

There are three 'a's in the word 'austria'.",False,False,False,False
31,31,"Q: How many times does the letter 's' occur in the word 'austria' ? 
 A: ","1,one","

There are three times the ""s"" occurs in the word ""austria.""","

There are six occurrences of the letter 's' in the word ""Austria.""","

There are six instances of the letter 's' in the word 'austria'.","

There are three 's' letters in the word 'austria'.",False,False,False,False
32,32,"Q: How many times does the letter 't' occur in the word 'austria' ? 
 A: ","1,one","

There are three times the word ""austria"" occurs than ""italy"" does.","

There are 3 occurrences of the letter 't' in the word ""austria.""","

There are six times the letter 't' occurs in the word 'austria'.","

There are three 't's in the word 'austria'.",False,False,False,False
33,33,"Q: How many times does the letter 'u' occur in the word 'austria' ? 
 A: ","1,one","

There is not a single letter of the word ""Austria"" that does not contain ""u.""","

There are six occurrences of the letter 'u' in Austria.","

There are six occurrences of the letter 'u' in the word 'austria'.","

There are three 'u's in the word 'austria'.",False,False,False,False
34,34,"Q: How many times does the letter 'r' occur in the word 'austria' ? 
 A: ","1,one","

There is not one letter of the word ""Austria"" that does not have at least one ""r.""","

There are six occurrences of the letter 'r' in the word 'austria'.","

There are six occurrences of the letter 'r' in the word 'austria'.","

There are three 'r's in the word 'austria'.",True,False,False,False
35,35,"Q: Count the number of letters in the word 'america' ? 
 A: ","7,seven","

There are 16 letters in America.","

There are thirteen letters in the word 'america'.","

There are 26 letters in the word ""America"".","

There are six letters in the word 'america'.",False,False,False,False
36,36,"Q: How many times does the letter 'c' occur in the word 'america' ? 
 A: ","1,one","

C: 

A: 

3 times","

There are six letters in the word 'america': 'a', 'm', 'r', 's', 't', and 'y'.","

There are six occurrences of the letter 'c' in the word 'america'.","

There are three c's in America.",False,False,False,False
37,37,"Q: How many times does the letter 'e' occur in the word 'america' ? 
 A: ","1,one","

There are three times the letter 'e' occurs in the word 'america'.","

There are six occurrences of the letter 'e' in the word 'america'.","

There are six occurrences of the letter 'e' in the word 'america'.","

There are three 'e's in the word 'america'.",False,False,False,False
38,38,"Q: How many times does the letter 'i' occur in the word 'america' ? 
 A: ","1,one","

There are three times the word ""america"" occurs.","

There are six letters in the word 'america': 'a', 'm', 'r', 's', 't', and 'i'.","

There are six instances of the letter 'i' in the word 'america'.","

There are three 'i's in the word 'america'.",False,False,False,False
39,39,"Q: How many times does the letter 'a' occur in the word 'america' ? 
 A: ","2,two","

There are three times the word America contains the letter ""a.""","

There are six letters in the word 'america': a, b, c, d, e, f, g.","

There are six letters in the word 'america'. 'A' occurs twice.","

There are six letters in the word 'america' and the letter 'a' appears three times.",False,False,False,False
40,40,"Q: How many times does the letter 'r' occur in the word 'america' ? 
 A: ","1,one","

There are three times the letter ""r"" occurs in the word ""america.""","

There are six occurrences of the letter 'r' in the word 'america'.","

There are six occurrences of the letter 'r' in the word 'america'.","

There are three 'r's in the word 'america'.",False,False,False,False
41,41,"Q: How many times does the letter 'm' occur in the word 'america' ? 
 A: ","1,one","

There are three times the word ""m"" occurs in the letter ""m"" America.""","

There are six letters in the word 'america': 'a', 'm', 'n', 'r', 's', and 't'.","

There are six occurrences of the letter 'm' in the word 'america'.","

There are three 'm's in the word 'america'.",False,False,False,False
42,42,"Q: Count the number of letters in the word 'canada' ? 
 A: ","6,six","

There are six letters in Canada.","

There are nine letters in the word ""canada.""","

There are 33 letters in the word 'canada'.","

There are six letters in the word 'canada'.",True,False,False,True
43,43,"Q: How many times does the letter 'n' occur in the word 'canada' ? 
 A: ","1,one","

There are three times the word ""canada"" occurs.","

There are six occurrences of the letter 'n' in Canada.","

There are six occurrences of the letter 'n' in the word 'canada'.","

The letter 'n' occurs twice in the word 'canada'.",False,False,False,False
44,44,"Q: How many times does the letter 'a' occur in the word 'canada' ? 
 A: ","3,three","

There are three times the word ""a"" occurs in the letter ""canada"".","

There are six occurrences of the letter 'a' in Canada.","

There are six occurrences of the letter 'a' in the word 'canada'.","

There are three 'a's in the word 'canada'.",True,False,False,True
45,45,"Q: How many times does the letter 'c' occur in the word 'canada' ? 
 A: ","1,one","

C: 

Can: 

R: 

C: 

Can: 

-R: 
-C: 

There: 

-R: 
-C","

There are six occurrences of the letter 'c' in Canada.","

There are six occurrences of the letter 'c' in the word 'canada'.","

The letter 'c' occurs twice in the word 'canada'.",False,False,False,False
46,46,"Q: How many times does the letter 'd' occur in the word 'canada' ? 
 A: ","1,one","

D-C-A-N-I-T","

There are six letters in the word 'canada': a, e, i, o, u, and d.","

There are six occurrences of the letter 'd' in the word 'canada'.","

The letter 'd' occurs twice in the word 'canada'.",False,False,False,False
47,47,"Q: Count the number of letters in the word 'china' ? 
 A: ","5,five","

There are six letters in the word ""china"".","

There are nine letters in the word ""china.""","

There are 19 letters in the word 'china'.","

There are six letters in the word 'china'.",False,False,False,False
48,48,"Q: How many times does the letter 'i' occur in the word 'china' ? 
 A: ","1,one","

There are three times the word ""china"" occurs than the word ""one.""","

There are six occurrences of the letter 'i' in the word 'china'.","

There are six occurrences of the letter 'i' in the word 'china'.","

There are three 'i's in the word 'china'.",False,False,False,False
49,49,"Q: How many times does the letter 'a' occur in the word 'china' ? 
 A: ","1,one","

There are three times the word ""china"" occurs than the word ""a"" does.","

There are six occurrences of the letter 'a' in the word 'china'.","

There are six occurrences of the letter 'a' in the word 'china'.","

There are three 'a's in the word 'china'.",False,False,False,False
50,50,"Q: How many times does the letter 'h' occur in the word 'china' ? 
 A: ","1,one","

There are three times the letter ""h"" occurs in the word ""china"".","

There are six occurrences of the letter 'h' in the word 'china'.","

There are six occurrences of the letter 'h' in the word 'china'.","

The letter 'h' occurs twice in the word 'china'.",False,False,False,False
51,51,"Q: How many times does the letter 'n' occur in the word 'china' ? 
 A: ","1,one","

There are three times the word ""n"" occurs in the letter ""china"".","

There are six occurrences of the letter 'n' in the word 'china'.","

There are six occurrences of the letter 'n' in the word 'china'.","

The letter 'n' occurs twice in the word 'china'.",False,False,False,False
52,52,"Q: How many times does the letter 'c' occur in the word 'china' ? 
 A: ","1,one","

There are three times the word 'china' occurs with the letter 'c'.","

There are six occurrences of the letter 'c' in the word 'china'.","

There are six occurrences of the letter 'c' in the word 'china'.","

The letter 'c' occurs twice in the word 'china'.",False,False,False,False
53,53,"Q: Count the number of letters in the word 'india' ? 
 A: ","5,five","

There are nine letters in India.","

There are nine letters in the word ""India.""","

There are 31 letters in the word 'India'.","

There are six letters in the word 'india'.",False,False,False,False
54,54,"Q: How many times does the letter 'd' occur in the word 'india' ? 
 A: ","1,one","

There are three times the word ""india"" occurs than ""dia"" does.","

There are six occurrences of the letter 'd' in the word 'india'.","

There are six occurrences of the letter 'd' in the word 'india'.","

There are three occurrences of the letter 'd' in the word 'india'.",False,False,False,False
55,55,"Q: How many times does the letter 'a' occur in the word 'india' ? 
 A: ","1,one","

There are three times the word ""india"" occurs than once ""a"" does.","

There are six occurrences of the letter 'a' in India.","

There are six occurrences of the letter 'a' in the word 'india'.","

There are three 'a's in the word 'india'.",False,False,False,False
56,56,"Q: How many times does the letter 'n' occur in the word 'india' ? 
 A: ","1,one","

There are three times the word ""india"" occurs than the word ""n"" does.","

There are six occurrences of the letter 'n' in the word 'India'.","

There are six occurrences of the letter 'n' in the word 'india'.","

There are three occurrences of the letter 'n' in the word 'india'.",False,False,False,False
57,57,"Q: How many times does the letter 'i' occur in the word 'india' ? 
 A: ","2,two","

There are three times the word ""india"" occurs than ""I"" does.","

There are six occurrences of the letter 'i' in the word 'india'.","

There are two instances of the letter 'i' in the word 'india'.","

There are three 'i's in the word 'india'.",False,False,True,False
58,58,"Q: Count the number of letters in the word 'brazil' ? 
 A: ","6,six","

There are six letters in ""brazil"".","

There are nine letters in the word ""brazil.""","

There are 21 letters in the word 'brazil'.","

There are nine letters in the word 'brazil'.",True,False,False,False
59,59,"Q: How many times does the letter 'i' occur in the word 'brazil' ? 
 A: ","1,one","

There are three times the word ""brazil"" occurs than the word ""i"" does.","

There are six occurrences of the letter 'i' in Brazil.","

There are six occurrences of the letter 'i' in the word 'brazil'.","

There are three 'i's in the word 'brazil'.",False,False,False,False
60,60,"Q: How many times does the letter 'z' occur in the word 'brazil' ? 
 A: ","1,one","

Z-Z-Z-Z-Z-Z-Z-Z-Z-Z-Z-Z-Z-Z-Z-Z-Z-Z-Z-Z-Z-Z-Z-Z-","

There are six occurrences of the letter 'z' in the word 'brazil'.","

There are six occurrences of the letter 'z' in the word 'brazil'.","

There are two 'z's in the word 'brazil'.",False,False,False,False
61,61,"Q: How many times does the letter 'a' occur in the word 'brazil' ? 
 A: ","1,one","

There are three times the word ""brazil"" occurs than the word ""a"" does.","

There are six occurrences of the letter 'a' in Brazil.","

There are six occurrences of the letter 'a' in the word 'brazil'.","

There are three 'a's in the word 'brazil'.",False,False,False,False
62,62,"Q: How many times does the letter 'b' occur in the word 'brazil' ? 
 A: ","1,one","

B-R-O-L-L-S","

There are six occurrences of the letter 'b' in Brazil.","

There are six occurrences of the letter 'b' in the word 'brazil'.","

The letter 'b' occurs twice in the word 'brazil'.",False,False,False,False
63,63,"Q: How many times does the letter 'r' occur in the word 'brazil' ? 
 A: ","1,one","

There are three times the letter ""r"" occurs in the word ""brazil.""","

There are three occurrences of the letter 'r' in the word 'brazil'.","

There are six occurrences of the letter 'r' in the word 'brazil'.","

There are three 'r's in the word 'brazil'.",False,False,False,False
64,64,"Q: How many times does the letter 'l' occur in the word 'brazil' ? 
 A: ","1,one","

There are three times the letter ""l"" occurs in the word ""brazil.""","

There are six letters in the word 'brazil': b, r, a, l, o, q, and p.","

There are six occurrences of the letter 'l' in the word 'brazil'.","

There are three 'l's in the word 'brazil'.",False,False,False,False
65,65,"Q: Count the number of letters in the word 'dune' ? 
 A: ","4,four","

There are six letters in the word ""dune.""","

There are nine letters in the word ""dune.""","

There are 36 letters in the word 'dune'.","

There are six letters in the word 'dune'.",False,False,False,False
66,66,"Q: How many times does the letter 'u' occur in the word 'dune' ? 
 A: ","1,one","

There are three times the letter ""u"" occurs in the word ""dune"".","

There are six occurrences of the letter 'u' in the word 'dune'.","

There are six occurrences of the letter 'u' in the word 'dune'.","

There are three occurrences of the letter 'u' in the word 'dune'.",False,False,False,False
67,67,"Q: How many times does the letter 'e' occur in the word 'dune' ? 
 A: ","1,one","

There are three times the letter 'e' occurs in the word 'dune'.","

There are six occurrences of the letter 'e' in the word 'dune'.","

There are six occurrences of the letter 'e' in the word 'dune'.","

The letter 'e' occurs twice in the word 'dune'.",False,False,False,False
68,68,"Q: How many times does the letter 'd' occur in the word 'dune' ? 
 A: ","1,one","

There are three times the letter ""d"" occurs in the word ""dune.""","

There are six occurrences of the letter 'd' in the word 'dune'.","

There are six occurrences of the letter 'd' in the word 'dune'.","

The letter 'd' occurs twice in the word 'dune'.",False,False,False,False
69,69,"Q: How many times does the letter 'n' occur in the word 'dune' ? 
 A: ","1,one","

There are three times the word ""dune"" occurs.","

There are six occurrences of the letter 'n' in the word 'dune'.","

There are six occurrences of the letter 'n' in the word 'dune'.","

The letter 'n' occurs twice in the word 'dune'.",False,False,False,False
70,70,"Q: Count the number of letters in the word 'mars' ? 
 A: ","4,four","

There are six letters in the word ""mars""","

There are 9 letters in the word ""mars.""","

There are 26 letters in the word 'mars'.","

There are 5 letters in the word 'mars'.",False,False,False,False
71,71,"Q: How many times does the letter 'a' occur in the word 'mars' ? 
 A: ","1,one","

There are three times the letter ""a"" occurs in the word ""mars.""","

There are six occurrences of the letter 'a' in the word ""mars"".","

There are six occurrences of the letter 'a' in the word 'mars'.","

There are three 'a's in the word 'mars'.",False,False,False,False
72,72,"Q: How many times does the letter 'm' occur in the word 'mars' ? 
 A: ","1,one","

There are three times the letter ""m"" occurs in the word ""mars.""","

There are six occurrences of the letter 'm' in the word ""mars"".","

There are six occurrences of the letter 'm' in the word 'mars'.","

There are three 'm's in the word 'mars'.",False,False,False,False
73,73,"Q: How many times does the letter 's' occur in the word 'mars' ? 
 A: ","1,one","

There are three times the letter ""s"" occurs in the word ""mars.""","

There are six occurrences of the letter 's' in the word ""mars.""","

There are six occurrences of the letter 's' in the word 'mars'.","

There are three 's' letters in the word 'mars'.",False,False,False,False
74,74,"Q: How many times does the letter 'r' occur in the word 'mars' ? 
 A: ","1,one","

There are three times the letter ""r"" occurs in the word ""mars.""","

There are three occurrences of the letter 'r' in the word ""mars"".","

There are six occurrences of the letter 'r' in the word 'mars'.","

There are three 'r's in the word 'mars'.",False,False,False,False
75,75,"Q: Count the number of letters in the word 'jupiter' ? 
 A: ","7,seven","

There are six letters in the word ""jupiter"".","

There are nine letters in the word ""jupiter.""","

There are 79 letters in the word 'jupiter'.","

There are nine letters in the word 'jupiter'.",False,False,False,False
76,76,"Q: How many times does the letter 'e' occur in the word 'jupiter' ? 
 A: ","1,one","

There are three times the letter 'e' occurs in the word 'jupiter'.","

There are six occurrences of the letter 'e' in the word 'jupiter'.","

There are six occurrences of the letter 'e' in the word 'jupiter'.","

There are four 'e's in the word 'jupiter'.",False,False,False,False
77,77,"Q: How many times does the letter 'i' occur in the word 'jupiter' ? 
 A: ","1,one","

There are three times the letter ""i"" occurs in the word ""jupiter"" :

""Ijune""/June
""Icumen""/Cuman
""Icumen""/Anine","

There are six occurrences of the letter 'i' in the word 'jupiter'.","

There are six occurrences of the letter 'i' in the word 'jupiter'.","

There are four 'i's in the word 'jupiter'.",False,False,False,False
78,78,"Q: How many times does the letter 'p' occur in the word 'jupiter' ? 
 A: ","1,one","

There are three times the letter ""p"" occurs in the word ""jupiter"" - once in the word ""pis"" and two times in the word ""podes""","

There are six occurrences of the letter 'p' in the word 'jupiter'.","

There are six occurrences of the letter 'p' in the word 'jupiter'.","

There are six letters in the word 'jupiter' and the letter 'p' occurs twice.",False,False,False,False
79,79,"Q: How many times does the letter 'j' occur in the word 'jupiter' ? 
 A: ","1,one","

There are three times the letter ""j"" occurs in the word ""jupiter.""","

There are six occurrences of the letter 'j' in the word 'jupiter'.","

There are six occurrences of the letter 'j' in the word 'jupiter'.","

There are six letters in the word 'jupiter'. The letter 'j' occurs twice.",False,False,False,False
80,80,"Q: How many times does the letter 't' occur in the word 'jupiter' ? 
 A: ","1,one","

There are three times the letter ""t"" occurs in the word ""jupiter.""","

There are six occurrences of the letter 't' in the word 'jupiter'.","

There are six occurrences of the letter 't' in the word 'jupiter'.","

There are three 't's in the word 'jupiter'.",False,False,False,False
81,81,"Q: How many times does the letter 'u' occur in the word 'jupiter' ? 
 A: ","1,one","

There are three times the letter 'u' occurs in the word ""jupiter"" - once in the word ""jupiter"" and two times in the word ""jupiter"".","

There are six occurrences of the letter 'u' in the word 'jupiter'.","

There are six occurrences of the letter 'u' in the word 'jupiter'.","

There are four 'u's in the word 'jupiter'.",False,False,False,False
82,82,"Q: How many times does the letter 'r' occur in the word 'jupiter' ? 
 A: ","1,one","

There are three times the letter ""r"" occurs in the word ""jupiter"" - two times in the word ""ruler"" and one time in the word ""ruler.""","

There are six occurrences of the letter 'r' in the word 'jupiter'.","

There are six occurrences of the letter 'r' in the word 'jupiter'.","

There are three 'r's in the word 'jupiter'.",True,False,False,False
83,83,"Q: Count the number of letters in the word 'saturn' ? 
 A: ","6,six","

There are six letters in the word ""saturn"".","

There are nine letters in the word ""saturn.""","

There are 29 letters in the word 'saturn'.","

There are six letters in the word 'saturn'.",True,False,False,True
84,84,"Q: How many times does the letter 'a' occur in the word 'saturn' ? 
 A: ","1,one","

There are three times the word ""saturn"" occur in the letter ""a"".","

There are six occurrences of the letter 'a' in the word ""saturn.""","

There are six letters in the word 'saturn' and 'a' occurs twice.","

There are three 'a's in the word 'saturn'.",False,False,False,False
85,85,"Q: How many times does the letter 's' occur in the word 'saturn' ? 
 A: ","1,one","

There are three times the letter ""s"" occurs in the word ""saturn.""","

There are six occurrences of the letter 's' in the word ""saturn.""","

There are six occurrences of the letter 's' in the word 'saturn'.","

There are three 's' letters in the word 'saturn'.",False,False,False,False
86,86,"Q: How many times does the letter 't' occur in the word 'saturn' ? 
 A: ","1,one","

There are three times the letter ""t"" occurs in the word ""saturn.""","

There are 3 occurrences of the letter 't' in the word ""saturn"".","

There are six times the letter 't' occurs in the word 'saturn'.","

There are three 't's in the word 'saturn'.",False,False,False,False
87,87,"Q: How many times does the letter 'u' occur in the word 'saturn' ? 
 A: ","1,one","

There are three times the letter ""u"" occurs in the word ""saturn.""","

There are six occurrences of the letter 'u' in the word ""saturn.""","

There are six occurrences of the letter 'u' in the word 'saturn'.","

There are three occurrences of the letter 'u' in the word 'saturn'.",False,False,False,False
88,88,"Q: How many times does the letter 'n' occur in the word 'saturn' ? 
 A: ","1,one","

There are three times the word ""saturn"" occurs.","

There are six occurrences of the letter 'n' in the word ""saturn.""","

There are six occurrences of the letter 'n' in the word 'saturn'.","

There are three occurrences of the letter 'n' in the word 'saturn'.",False,False,False,False
89,89,"Q: How many times does the letter 'r' occur in the word 'saturn' ? 
 A: ","1,one","

There are three times the letter ""r"" occurs in the word ""saturn.""","

There are six occurrences of the letter 'r' in the word 'saturn'.","

There are six occurrences of the letter 'r' in the word 'saturn'.","

There are three 'r's in the word 'saturn'.",False,False,False,False
90,90,"Q: Count the number of letters in the word 'venus' ? 
 A: ","5,five","

There are nine letters in the word ""venus.""","

There are nine letters in the word ""venus.""","

There are nine letters in the word 'venus'.","

There are six letters in the word 'venus'.",False,False,False,False
91,91,"Q: How many times does the letter 'e' occur in the word 'venus' ? 
 A: ","1,one","

There are three times the letter 'e' occurs in the word 'venus'.","

There are six occurrences of the letter 'e' in the word 'venus'.","

There are six occurrences of the letter 'e' in the word 'venus'.","

There are three 'e's in the word 'venus'.",False,False,False,False
92,92,"Q: How many times does the letter 's' occur in the word 'venus' ? 
 A: ","1,one","

There are three 's' in 'venus'.","

There are six occurrences of the letter 's' in the word ""venus.""","

There are six occurrences of the letter 's' in the word 'venus'.","

There are three 's' letters in the word 'venus'.",False,False,False,False
93,93,"Q: How many times does the letter 'u' occur in the word 'venus' ? 
 A: ","1,one","

There are three times the letter ""u"" occurs in the word ""venus.""","

There are six occurrences of the letter 'u' in the word 'venus'.","

There are six occurrences of the letter 'u' in the word 'venus'.","

There are three 'u's in the word 'venus'.",False,False,False,False
94,94,"Q: How many times does the letter 'n' occur in the word 'venus' ? 
 A: ","1,one","

There are three times the word ""n"" occurs in the word ""venus.""","

There are six occurrences of the letter 'n' in the word 'venus'.","

There are six occurrences of the letter 'n' in the word 'venus'.","

The letter 'n' occurs twice in the word 'venus'.",False,False,False,False
95,95,"Q: How many times does the letter 'v' occur in the word 'venus' ? 
 A: ","1,one","

There are three times the letter ""v"" occurs in the word ""venus.""","

There are six occurrences of the letter 'v' in the word 'venus'.","

There are six times the letter 'v' occurs in the word 'venus'.","

There are six letters in the word 'venus'. The letter 'v' occurs twice.",False,False,False,False
96,96,"Q: Count the number of letters in the word 'mercury' ? 
 A: ","7,seven","

There are six letters in the word ""mercury"".","

There are nine letters in the word ""mercury.""","

There are 36 letters in mercury.","

There are six letters in the word 'mercury'.",False,False,False,False
